WEEK,DAY,DATE,TIME,WINNER,LOCATION,LOSER,BOXSCORE,PTSW,PTSL,YDSW,TOW,YDSL,TOL
1,Thu,09/7/2018,8:30PM,KC,AT,NE,boxscore,42,27,537,1,371,0
1,Sun,09/10/2018,1:00PM,OAK,AT,TEN,boxscore,26,16,359,0,350,0
1,Sun,09/10/2018,1:00PM,ATL,AT,CHI,boxscore,23,17,372,0,301,0
1,Sun,09/10/2018,1:00PM,BUF,HOSTING,NYJ,boxscore,21,12,408,1,214,2
1,Sun,09/10/2018,1:00PM,PIT,AT,CLE,boxscore,21,18,290,1,237,1
1,Sun,09/10/2018,1:00PM,BAL,AT,CIN,boxscore,20,0,268,1,221,5
1,Sun,09/10/2018,1:00PM,PHI,AT,WAS,boxscore,30,17,356,2,264,4
1,Sun,09/10/2018,1:00PM,DET,HOSTING,ARI,boxscore,35,23,367,1,308,4
1,Sun,09/10/2018,1:00PM,JAX,AT,HOU,boxscore,29,7,280,0,203,4
1,Sun,09/10/2018,4:05PM,LA,HOSTING,IND,boxscore,46,9,373,1,225,3
1,Sun,09/10/2018,4:25PM,CAR,AT,SF,boxscore,23,3,287,2,217,2
1,Sun,09/10/2018,4:25PM,GB,HOSTING,SEA,boxscore,17,9,370,1,225,1
1,Sun,09/10/2018,8:30PM,DAL,HOSTING,NYG,boxscore,19,3,392,0,233,1
1,Mon,09/11/2018,7:10PM,MIN,HOSTING,NO,boxscore,29,19,470,0,344,0
1,Mon,09/11/2018,10:20PM,DEN,HOSTING,LAC,boxscore,24,21,321,2,249,1
2,Thu,09/14/2018,8:25PM,HOU,AT,CIN,boxscore,13,9,266,0,295,1
2,Sun,09/17/2018,1:00PM,TEN,AT,JAX,boxscore,37,16,390,1,310,3
2,Sun,09/17/2018,1:00PM,KC,HOSTING,PHI,boxscore,27,20,344,0,406,2
2,Sun,09/17/2018,1:00PM,ARI,AT,IND,boxscore,16,13,389,1,266,1
2,Sun,09/17/2018,1:00PM,CAR,HOSTING,BUF,boxscore,9,3,255,0,176,0
2,Sun,09/17/2018,1:00PM,NE,AT,NO,boxscore,36,20,555,0,429,0
2,Sun,09/17/2018,1:00PM,PIT,HOSTING,MIN,boxscore,26,9,335,0,237,1
2,Sun,09/17/2018,1:00PM,TB,HOSTING,CHI,boxscore,29,7,311,1,310,4
2,Sun,09/17/2018,1:00PM,BAL,HOSTING,CLE,boxscore,24,10,337,2,386,5
2,Sun,09/17/2018,4:05PM,MIA,AT,LAC,boxscore,19,17,336,0,367,0
2,Sun,09/17/2018,4:05PM,OAK,HOSTING,NYJ,boxscore,45,20,410,0,271,2
2,Sun,09/17/2018,4:25PM,SEA,HOSTING,SF,boxscore,12,9,312,0,248,1
2,Sun,09/17/2018,4:25PM,DEN,HOSTING,DAL,boxscore,42,17,380,2,268,2
2,Sun,09/17/2018,4:25PM,WAS,AT,LA,boxscore,27,20,385,0,332,2
2,Sun,09/17/2018,8:30PM,ATL,HOSTING,GB,boxscore,34,23,364,0,367,2
2,Mon,09/18/2018,8:30PM,DET,AT,NYG,boxscore,24,10,257,1,270,1
3,Thu,09/21/2018,8:25PM,LA,AT,SF,boxscore,41,39,418,2,421,2
3,Sun,09/24/2018,9:30AM,JAX,HOSTING,BAL,boxscore,44,7,410,0,186,3
3,Sun,09/24/2018,1:00PM,NYJ,HOSTING,MIA,boxscore,20,6,336,1,225,2
3,Sun,09/24/2018,1:00PM,NO,AT,CAR,boxscore,34,13,362,0,288,3
3,Sun,09/24/2018,1:00PM,IND,HOSTING,CLE,boxscore,31,28,335,1,346,3
3,Sun,09/24/2018,1:00PM,NE,HOSTING,HOU,boxscore,36,33,396,1,417,2
3,Sun,09/24/2018,1:00PM,PHI,HOSTING,NYG,boxscore,27,24,354,1,415,2
3,Sun,09/24/2018,1:00PM,ATL,AT,DET,boxscore,30,26,428,3,324,0
3,Sun,09/24/2018,1:00PM,BUF,HOSTING,DEN,boxscore,26,16,272,0,366,2
3,Sun,09/24/2018,1:00PM,MIN,HOSTING,TB,boxscore,34,17,494,0,342,3
3,Sun,09/24/2018,1:00PM,CHI,HOSTING,PIT,boxscore,23,17,306,2,282,2
3,Sun,09/24/2018,4:05PM,TEN,HOSTING,SEA,boxscore,33,27,420,0,433,0
3,Sun,09/24/2018,4:25PM,GB,HOSTING,CIN,boxscore,27,24,344,1,301,1
3,Sun,09/24/2018,4:25PM,KC,AT,LAC,boxscore,24,10,311,0,330,3
3,Sun,09/24/2018,8:30PM,WAS,HOSTING,OAK,boxscore,27,10,472,2,128,3
3,Mon,09/25/2018,8:30PM,DAL,AT,ARI,boxscore,28,17,273,0,332,0
