Team,First,Last
ARI,KLIFF,KINGSBURY
ATL,DAN,QUINN
BAL,JOHN,HARBAUGH
BUF,SEAN,MCDERMOTT
CAR,RON,RIVERA
CHI,MATT,NAGY
CIN,ZAC,TAYLOR
CLE,FREDDIE,KITCHENS
DAL,JASON,GARRETT
DEN,VIC,FANGIO
DET,MATT,PATRICIA
GB,MAT,LAFLEUR
HOU,BILL,OBRIEN
IND,FRANK,REICH
JAX,DOUG,MARRONE
KC,ANDY,REID
LAC,ANTHONY,LYNN
LA,SEAN,MCVAY
MIA,BRIAN,FLORES
MIN,MIKE,ZIMMER
NE,BILL,BELICHICK
NO,SEAN,PAYTON
NYG,PAT,SHURMUR
NYJ,ADAM,GASE
OAK,JON,GRUDEN
PHI,DOUG,PEDERSON
PIT,MIKE,TOMLIN
SEA,PETE,CARROL
SF,KYLE,SHANAHAN
TB,BRUCE,ARIANS
TEN,MIKE,VRABEL
WAS,JAY,GRUDEN
